0.005, 0.002992, 0.001131,
0.004, 0.0032601, 0.0010244,
0.004, 0.0029699, 0.0009938,
0.003, 0.003084, 0.0012701,
0.004, 0.0045946, 0.001165,
0.005, 0.0040597, 0.0021411,
0.006, 0.0031399, 0.0011249,
0.004, 0.0031495, 0.0012347,
0.004, 0.0037662, 0.0014216,
0.005, 0.0029925, 0.000988,
0.004, 0.0030761, 0.0013201,
0.004, 0.0049623, 0.0013963,
0.012, 0.003506, 0.0012696,
0.005, 0.0042813, 0.0025255,
0.006, 0.0062564, 0.0018619,
0.008, 0.0031036, 0.0012534,
0.004, 0.0051813, 0.0019221,
0.007, 0.0031182, 0.0010781,
0.004, 0.0030276, 0.0011233,
0.004, 0.0060891, 0.001606,
0.007, 0.0034999, 0.0018994,
0.005, 0.0034485, 0.0014489,
0.004, 0.0039078, 0.0011913,
0.005, 0.0029235, 0.0010611,
0.004, 0.0031735, 0.0015602,
0.004, 0.0063407, 0.0013329,
0.007, 0.0032203, 0.001971,
0.005, 0.0029433, 0.0009362,
0.003, 0.0068042, 0.0013145,
0.008, 0.0031322, 0.0010548,
0.004, 0.0030881, 0.0013375,
0.004, 0.0056011, 0.0012667,
0.006, 0.0035228, 0.0010423,
0.004, 0.0030271, 0.0012382,
0.004, 0.0028656, 0.0014612,
0.004, 0.0039038, 0.0013053,
0.005, 0.0038518, 0.0012033,
0.005, 0.0031888, 0.0010849,
0.004, 0.006409, 0.0014927,
0.007, 0.0032933, 0.0015678,
0.004, 0.003861, 0.0011933,
0.005, 0.0051864, 0.0017585,
0.006, 0.0032748, 0.0009909,
0.004, 0.004834, 0.0012134,
0.006, 0.0041874, 0.0012381,
0.005, 0.0043422, 0.001243,
0.005, 0.0032483, 0.0015645,
0.004, 0.004678, 0.0019295,
0.006, 0.0032975, 0.0011351,
0.004, 0.0030935, 0.0013402,
0.004, 0.0058314, 0.0013789,
0.007, 0.003711, 0.0018732,
0.005, 0.003514, 0.0012451,
0.004, 0.0049451, 0.001961,
0.006, 0.0032878, 0.0012843,
0.004, 0.003496, 0.0016206,
0.005, 0.0051005, 0.001975,
0.007, 0.0045796, 0.0013728,
0.005, 0.003389, 0.0015868,
0.005, 0.003339, 0.0017337,
0.005, 0.0029598, 0.0013424,
0.004, 0.0052617, 0.0009745,
0.006, 0.0036862, 0.0014354,
0.005, 0.0029921, 0.0013591,
0.004, 0.0028445, 0.0010833,
0.003, 0.0071955, 0.0009177,
0.008, 0.0030882, 0.0011413,
0.004, 0.0029551, 0.0011586,
0.004, 0.0027542, 0.0010713,
0.003, 0.0033042, 0.002196,
0.005, 0.0030953, 0.0009567,
0.004, 0.0029865, 0.0011577,
0.004, 0.0049283, 0.0011116,
0.006, 0.0044779, 0.0021754,
0.006, 0.0030818, 0.001134,
0.004, 0.0033804, 0.0019324,
0.005, 0.0029524, 0.0012194,
0.004, 0.0037207, 0.001307,
0.005, 0.0030327, 0.0014911,
0.004, 0.0036019, 0.0012295,
0.004, 0.0030973, 0.001147,
0.004, 0.0027282, 0.0012152,
0.003, 0.0042012, 0.0012363,
0.005, 0.0028586, 0.0009559,
0.003, 0.0030217, 0.0013597,
0.004, 0.0029691, 0.0013295,
0.004, 0.0045412, 0.0010497,
0.005, 0.0030145, 0.0012989,
0.004, 0.0028141, 0.0012129,
0.004, 0.0032302, 0.0010274,
0.004, 0.0026288, 0.0008113,
0.003, 0.0028269, 0.0007586,
0.003, 0.0026594, 0.0009398,
0.003, 0.0031347, 0.0015346,
0.004, 0.0029797, 0.0008908,
0.003, 0.0030361, 0.0012989,
0.004, 0.0036987, 0.0012656,
0.005, 0.0043183, 0.0015334,
0.005, 0.0036685, 0.0015455,
0.005, 0.0030271, 0.0011137,
